s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   8.5509412413557584E-002   1.6368092969059944E-002   1.2931040528201265E-003   8.6242286488413811E-003  0.800121486      0.999997616       2.55204998E-02
   8.4820028333524533E-002   1.6298696398735046E-002   1.3178151057218201E-003   8.7083335965871811E-003  0.799794734      0.999997675       2.47558001E-02
   8.5234095217856520E-002   1.6343517228960991E-002   1.3344035105546936E-003   8.6961770430207253E-003  0.800194860      0.999997079       2.47475002E-02
   8.5420235291167046E-002   1.6397207975387573E-002   1.2847798807342770E-003   8.7604206055402756E-003  0.799643934      0.999997556       2.60972008E-02
   8.5378979333654570E-002   1.6322106122970581E-002   1.3040523972449591E-003   8.7224915623664856E-003  0.800028741      0.999997079       2.41429005E-02
   8.4636535891604581E-002   1.6252454370260239E-002   1.2774312363035278E-003   8.6754998192191124E-003  0.800142050      0.999998868       2.54260004E-02
   8.4917156150368100E-002   1.6248924657702446E-002   1.3170597740099765E-003   8.6531061679124832E-003  0.799999237      0.999997675       2.46732999E-02
   8.4819590094411978E-002   1.6300063580274582E-002   1.3065823459328385E-003   8.7336832657456398E-003  0.799860656      0.999999344       2.42359005E-02
   8.4800333013845375E-002   1.6310002654790878E-002   1.3255247013148619E-003   8.6705135181546211E-003  0.799754620      0.999998629       2.48355009E-02
   8.5566028270477545E-002   1.6357321292161942E-002   1.3247809129097732E-003   8.7132072076201439E-003  0.799832463      0.999998391       2.61994991E-02
   8.4786462068223045E-002   1.6176609322428703E-002   1.3047964039287763E-003   8.6180474609136581E-003  0.799938202      0.999998868       2.52251998E-02
   8.5424237689949223E-002   1.6281887888908386E-002   1.3494398099282989E-003   8.6321588605642319E-003  0.799961209      0.999997318       2.47392002E-02
   8.5253963468858274E-002   1.6177393496036530E-002   1.3000320159335388E-003   8.5966652259230614E-003  0.799845397      0.999997377       2.54135001E-02
   8.5444604264921509E-002   1.6216877847909927E-002   1.3145663288014475E-003   8.5782129317522049E-003  0.800076127      0.999997377       2.37844996E-02
   8.5039245871485036E-002   1.6326498240232468E-002   1.3637957526952960E-003   8.7378993630409241E-003  0.799987435      0.999998569       2.46273000E-02
   8.5198669143210282E-002   1.6351798549294472E-002   1.3645417711813934E-003   8.7155178189277649E-003  0.799967945      0.999998629       2.52566002E-02
