s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   7.5104267083588638E-002   1.4466971158981323E-002   1.1955093978031073E-003   7.6784179545938969E-003  0.799913287      0.999998331       2.51404997E-02
   7.5553084554485395E-002   1.4470124617218971E-002   1.1590122612687992E-003   7.6541686430573463E-003  0.800026596      0.999997556       2.52282992E-02
   7.5492991373721452E-002   1.4603209681808949E-002   1.1742150636564475E-003   7.7270786277949810E-003  0.799879193      0.999997854       2.42148004E-02
   7.5266972039571556E-002   1.4439798891544342E-002   1.1532365388120525E-003   7.6001049019396305E-003  0.799803495      0.999997914       2.50246003E-02
   7.4877304524306965E-002   1.4391331002116203E-002   1.1530834799486911E-003   7.5912084430456161E-003  0.799967468      0.999997854       2.53215991E-02
   7.5370474901319540E-002   1.4391350559890270E-002   1.1591037309699459E-003   7.6221004128456116E-003  0.799913764      0.999998391       2.49505006E-02
   7.5273316144375713E-002   1.4494402334094048E-002   1.1929442807740998E-003   7.6521281152963638E-003  0.800072074      0.999998093       2.54049003E-02
   7.5460811659468163E-002   1.4384876936674118E-002   1.1212435510969954E-003   7.5609493069350719E-003  0.800209761      0.999999106       2.47182008E-02
   7.5361381082075241E-002   1.4412388205528259E-002   1.1440597972978139E-003   7.6453955844044685E-003  0.800095201      0.999998093       2.48067994E-02
   7.5878427323914366E-002   1.4467992819845676E-002   1.1540877931111027E-003   7.6103028841316700E-003  0.799724698      0.999998331       2.61142999E-02
   7.6259367175225634E-002   1.4482199214398861E-002   1.1909244622074766E-003   7.6136020943522453E-003  0.799864948      0.999997556       2.50847004E-02
   7.5708760790803353E-002   1.4419006183743477E-002   1.2187316697236383E-003   7.6073058880865574E-003  0.800097227      0.999997616       2.55804993E-02
   7.6538694916962413E-002   1.4472847804427147E-002   1.1835309560410678E-003   7.6138172298669815E-003  0.799684048      0.999998868       2.51192003E-02
   7.5435222190208151E-002   1.4373064972460270E-002   1.1763588863686891E-003   7.4531356804072857E-003  0.799681723      0.999997854       2.47342009E-02
   7.5173654417994840E-002   1.4444221742451191E-002   1.1897169006260810E-003   7.6950201764702797E-003  0.800170541      0.999997675       2.46159993E-02
   7.4799777367843490E-002   1.4372042380273342E-002   1.1572919229365652E-003   7.6385140419006348E-003  0.799902439      0.999998152       2.54605003E-02
   7.6207384957342583E-002   1.4377709478139877E-002   1.1730156220437493E-003   7.5961519032716751E-003  0.800096393      0.999998629       2.57131997E-02
   7.5581568555207923E-002   1.4469194225966930E-002   1.1641949367913185E-003   7.5827180407941341E-003  0.799913645      0.999997377       2.48856992E-02
   7.5292105091648409E-002   1.4489623717963696E-002   1.1925552898901515E-003   7.6296837069094181E-003  0.799721062      0.999998629       2.49116998E-02
   7.5587327135508531E-002   1.4482802711427212E-002   1.1663711084111128E-003   7.6039708219468594E-003  0.800099909      0.999996603       2.56251004E-02
   7.5556103426606569E-002   1.4471240341663361E-002   1.2003663450741442E-003   7.6776291243731976E-003  0.800072312      0.999997795       2.50794999E-02
   7.5561858016953920E-002   1.4552115462720394E-002   1.1793400190072134E-003   7.7806040644645691E-003  0.799853921      0.999997377       2.50745993E-02
   7.5080818976857699E-002   1.4393839053809643E-002   1.1737942641047994E-003   7.6258089393377304E-003  0.799991608      0.999998629       2.49086991E-02
   7.6256663013737125E-002   1.4561214484274387E-002   1.2189331791887525E-003   7.6861605048179626E-003  0.799833834      0.999998391       2.55967006E-02
   7.5892275235673878E-002   1.4578543603420258E-002   1.1641436667559901E-003   7.6845879666507244E-003  0.799950421      0.999997616       2.51966007E-02
   7.5793879235789063E-002   1.4414534904062748E-002   1.1600745929172263E-003   7.5606903992593288E-003  0.799906909      0.999998152       2.46050991E-02
   7.6105891597762820E-002   1.4365418814122677E-002   1.1550634317245567E-003   7.5467829592525959E-003  0.800039947      0.999998391       2.40768995E-02
   7.5648808114237909E-002   1.4475881122052670E-002   1.1520953594299499E-003   7.6376665383577347E-003  0.799988806      0.999998152       2.56609991E-02
   7.5356556706537958E-002   1.4485443010926247E-002   1.1693631295202067E-003   7.6468926854431629E-003  0.799899042      0.999998868       2.51000002E-02
   7.5947912617266411E-002   1.4544488862156868E-002   1.1554598877410172E-003   7.6562482863664627E-003  0.799932182      0.999998629       2.47572996E-02
   7.6155769176693866E-002   1.4570309780538082E-002   1.2214582056913059E-003   7.6734386384487152E-003  0.799911559      0.999998569       2.52353996E-02
   7.5404792485642247E-002   1.4556225389242172E-002   1.1948512292292435E-003   7.6817306689918041E-003  0.799752831      0.999997318       2.51148008E-02
   7.5300761999642418E-002   1.4436285011470318E-002   1.2005174648948014E-003   7.6285111717879772E-003  0.800078332      0.999997616       2.46259999E-02
   7.4982063241805008E-002   1.4486947096884251E-002   1.1648784784483723E-003   7.6380707323551178E-003  0.800083756      0.999997139       2.48658005E-02
   7.5661843128727924E-002   1.4579825103282928E-002   1.1725147996912710E-003   7.7061648480594158E-003  0.800225079      0.999998152       2.44184993E-02
   7.5679386854972108E-002   1.4391608536243439E-002   1.1676467747747665E-003   7.5654122047126293E-003  0.799880743      0.999996603       2.52579991E-02
   7.5476659344531072E-002   1.4384771697223186E-002   1.1664238645607838E-003   7.5744111090898514E-003  0.800101161      0.999997914       2.53037997E-02
   7.5813257735717343E-002   1.4524713158607483E-002   1.1601203514146619E-003   7.6363654807209969E-003  0.799575686      0.999999106       2.50517000E-02
   7.5574408127977222E-002   1.4461384154856205E-002   1.1759303488361184E-003   7.6541150920093060E-003  0.800026417      0.999998391       2.46475991E-02
   7.6019840220396873E-002   1.4480665326118469E-002   1.1612864927883493E-003   7.6155378483235836E-003  0.800096571      0.999998391       2.55244002E-02
   7.5408944146147405E-002   1.4380013570189476E-002   1.1289986505289562E-003   7.5871902517974377E-003  0.799944222      0.999997377       2.46307999E-02
   7.5261424906784669E-002   1.4624694362282753E-002   1.1653999281406868E-003   7.7663976699113846E-003  0.799874663      0.999996543       2.47176997E-02
   7.5531141900682996E-002   1.4521625824272633E-002   1.1562897980184061E-003   7.6829707249999046E-003  0.800189316      0.999998331       2.51726992E-02
   7.6064687244070228E-002   1.4520931988954544E-002   1.1612519720074488E-003   7.6515916734933853E-003  0.799584627      0.999998391       2.58437991E-02
   7.5013699610281037E-002   1.4387072995305061E-002   1.1435669712227536E-003   7.5942990370094776E-003  0.799811542      0.999998152       2.49201003E-02
   7.5809969534020638E-002   1.4429626055061817E-002   1.2061783836543327E-003   7.5680366717278957E-003  0.799897790      0.999998093       2.43407004E-02
   7.5844231237169879E-002   1.4382441528141499E-002   1.1255946446908638E-003   7.5290617533028126E-003  0.799881637      0.999998629       2.50704996E-02
   7.6137058445056027E-002   1.4498362317681313E-002   1.1902896821993636E-003   7.5831473805010319E-003  0.799648702      0.999997020       2.45906003E-02
   7.5894130482083710E-002   1.4498984441161156E-002   1.1998138124909019E-003   7.5961370021104813E-003  0.800004900      0.999998391       2.53899004E-02
   7.5392290638774284E-002   1.4515728689730167E-002   1.1790483385993866E-003   7.6640755869448185E-003  0.799969196      0.999999106       2.50413008E-02
   7.5767144694509625E-002   1.4429674483835697E-002   1.1595816631597700E-003   7.5805429369211197E-003  0.799950242      0.999997139       2.49693003E-02
   7.5604974459565710E-002   1.4457113109529018E-002   1.1802392309618881E-003   7.6274028979241848E-003  0.799679935      0.999998152       2.46169008E-02
   7.5243138037876633E-002   1.4360685832798481E-002   1.1553344393178122E-003   7.5470465235412121E-003  0.799871087      0.999997616       2.51387004E-02
   7.5698556899624236E-002   1.4500887133181095E-002   1.1670711755868979E-003   7.6846787706017494E-003  0.799729109      0.999998152       2.65170000E-02
   7.5500502485738252E-002   1.4521705918014050E-002   1.1736518827092368E-003   7.6667740941047668E-003  0.799600244      0.999997377       2.56568994E-02
   7.5548079617874464E-002   1.4431895688176155E-002   1.1954796009376878E-003   7.6684360392391682E-003  0.799882770      0.999997914       2.53491998E-02
   7.5579944356832129E-002   1.4413498342037201E-002   1.1668788811221020E-003   7.6247774995863438E-003  0.799758077      0.999998093       2.49617007E-02
   7.5362558594861184E-002   1.4480452053248882E-002   1.2142700707045151E-003   7.6128602959215641E-003  0.799846828      0.999998152       2.44848002E-02
   7.5370754619143554E-002   1.4435283839702606E-002   1.1540125033207005E-003   7.6232417486608028E-003  0.799828291      0.999998093       2.53711008E-02
   7.5287070428203151E-002   1.4378107152879238E-002   1.1462378679425456E-003   7.5851213186979294E-003  0.799751461      0.999997377       2.52091009E-02
   7.5354846584559709E-002   1.4453317038714886E-002   1.1557677808013977E-003   7.6382970437407494E-003  0.799844384      0.999998093       2.48358995E-02
   7.5158481946346001E-002   1.4410428702831268E-002   1.1476020208647242E-003   7.5670420192182064E-003  0.799962938      0.999997139       2.48859003E-02
   7.5861905345846026E-002   1.4293567277491093E-002   1.1644920014077798E-003   7.4980687350034714E-003  0.799911499      0.999998629       2.54937001E-02
   7.5910264072263089E-002   1.4551284722983837E-002   1.1421286690165289E-003   7.6848887838423252E-003  0.800357103      0.999998629       2.55679004E-02
   7.5407698653179978E-002   1.4548548497259617E-002   1.1712646810337901E-003   7.7236439101397991E-003  0.799851418      0.999997616       2.44148001E-02
   7.5385579558314930E-002   1.4474335126578808E-002   1.1756492312997580E-003   7.5897788628935814E-003  0.800006866      0.999996901       2.51627006E-02
   7.5552789221546846E-002   1.4489982277154922E-002   1.2195849249110324E-003   7.7074049040675163E-003  0.800126433      0.999998569       2.55692992E-02
   7.5362594098805857E-002   1.4452407136559486E-002   1.1495460294099757E-003   7.5948690064251423E-003  0.800029695      0.999998093       2.53794994E-02
   7.5836293303837010E-002   1.4411407522857189E-002   1.1520532370923320E-003   7.5781424529850483E-003  0.800024271      0.999998391       2.53976993E-02
   7.5284069785993779E-002   1.4535645022988319E-002   1.1484347342047840E-003   7.6983333565294743E-003  0.799995542      0.999998629       2.56133005E-02
   7.5522745461057639E-002   1.4480394311249256E-002   1.1586200253077550E-003   7.6288646087050438E-003  0.800035417      0.999997914       2.51314994E-02
   7.5846274778996303E-002   1.4580840244889259E-002   1.1766783190978458E-003   7.7186753042042255E-003  0.799806237      0.999998569       2.54584998E-02
   7.4863497746264329E-002   1.4341560192406178E-002   1.2036093212373089E-003   7.5550801120698452E-003  0.799850345      0.999998033       2.49949005E-02
   7.5667002041882370E-002   1.4416557736694813E-002   1.1613237911660690E-003   7.5577856041491032E-003  0.799847424      0.999997556       2.55482998E-02
   7.4852905868283415E-002   1.4420588500797749E-002   1.1651960830931785E-003   7.5873928144574165E-003  0.800153196      0.999997616       2.55050007E-02
   7.5636049949935114E-002   1.4515920542180538E-002   1.1648087402136298E-003   7.6510277576744556E-003  0.799813986      0.999998093       2.53522992E-02
   7.5664939346097526E-002   1.4399372041225433E-002   1.1759301651181886E-003   7.5616277754306793E-003  0.800080717      0.999999106       2.50698999E-02
   7.5539396962994942E-002   1.4486742205917835E-002   1.1729015732271364E-003   7.6381880789995193E-003  0.800033331      0.999998868       2.46188007E-02
   7.5695179312788241E-002   1.4427913352847099E-002   1.1194839789823163E-003   7.5626452453434467E-003  0.799830377      0.999998093       2.45482009E-02
   7.5384075396868866E-002   1.4435839839279652E-002   1.1148929952469189E-003   7.6465839520096779E-003  0.799937189      0.999997139       2.49911007E-02
   7.5919294642517343E-002   1.4542488381266594E-002   1.1630204480752582E-003   7.6131923124194145E-003  0.799828649      0.999998093       2.51477994E-02
