s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   9.8280290788352431E-002   1.8517132848501205E-002   1.5451128492713906E-003   9.9298907443881035E-003  0.799755275      0.999997854       2.51797996E-02
   9.6821854695235743E-002   1.8552184104919434E-002   1.4990127783676144E-003   1.0015604086220264E-002  0.799896419      0.999998868       2.51254998E-02
   9.7859371150661900E-002   1.8608303740620613E-002   1.5042143350001425E-003   9.9389310926198959E-003  0.799782574      0.999998629       2.34882999E-02
   9.7414069763544830E-002   1.8560115247964859E-002   1.4718239490321139E-003   9.9922753870487213E-003  0.800064802      0.999998331       2.47696005E-02
   9.7407358291548007E-002   1.8608283251523972E-002   1.5452119932888309E-003   1.0022399947047234E-002  0.800080240      0.999998152       2.61822995E-02
   9.7086342315378715E-002   1.8542066216468811E-002   1.4661578934465069E-003   1.0000400245189667E-002  0.799883664      0.999999583       2.48009004E-02
   9.7695099950215081E-002   1.8577961251139641E-002   1.5219812830764567E-003   9.9236201494932175E-003  0.799842060      0.999998868       2.32766997E-02
   9.8081346002800274E-002   1.8668400123715401E-002   1.5247439496306470E-003   1.0011060163378716E-002  0.799796700      0.999998868       2.40745004E-02
   9.7898141884797951E-002   1.8473112955689430E-002   1.4715982233610703E-003   9.8929759114980698E-003  0.800251663      0.999997854       2.47363001E-02
   9.8217394388484536E-002   1.8641803413629532E-002   1.5327400524256518E-003   1.0056847706437111E-002  0.799748898      0.999998629       2.60326993E-02
   9.7127436780738208E-002   1.8539084121584892E-002   1.5083766393217957E-003   9.9702132865786552E-003  0.799701273      0.999998391       2.49885991E-02
   9.7739516399997228E-002   1.8725158646702766E-002   1.5631417645636247E-003   1.0070916265249252E-002  0.799954236      0.999998331       2.44482998E-02
   9.7360262237089046E-002   1.8561443313956261E-002   1.4371771812875522E-003   9.9527984857559204E-003  0.799962103      0.999999583       2.62707006E-02
   9.7554918819696468E-002   1.8501978367567062E-002   1.4513838395942003E-003   9.9089369177818298E-003  0.800064683      0.999998152       2.42893007E-02
   9.8427455845012446E-002   1.8550783395767212E-002   1.5315562668547500E-003   9.9799148738384247E-003  0.800041437      0.999998629       2.52391994E-02
   9.7687880353987566E-002   1.8652549013495445E-002   1.5078392498253379E-003   9.9899610504508018E-003  0.800007880      0.999998808       2.51687001E-02
   9.7571728738330421E-002   1.8544418737292290E-002   1.4711779022036353E-003   9.9352728575468063E-003  0.799798071      0.999998391       2.44970992E-02
   9.8023390378784825E-002   1.8635218963027000E-002   1.5224647468130570E-003   1.0045502334833145E-002  0.799899518      0.999998629       2.72541996E-02
   9.7387622549831576E-002   1.8589736893773079E-002   1.5148870697885286E-003   1.0026459582149982E-002  0.800078928      0.999998093       2.60979999E-02
   9.7682720985631022E-002   1.8646450713276863E-002   1.5031203474791255E-003   1.0115097276866436E-002  0.799907982      0.999998391       2.50828005E-02
   9.7412847721898288E-002   1.8573867157101631E-002   1.5295035864255624E-003   1.0039163753390312E-002  0.799884617      0.999998629       2.53797993E-02
   9.7613321205244574E-002   1.8593128770589828E-002   1.5535784077655990E-003   9.9587850272655487E-003  0.799921155      0.999998331       2.55427994E-02
   9.7529710302751482E-002   1.8414454534649849E-002   1.5456435539817903E-003   9.8496619611978531E-003  0.800092041      0.999997377       2.59847008E-02
   9.7582413994132366E-002   1.8549134954810143E-002   1.5114022171474062E-003   9.9983196705579758E-003  0.800038934      0.999998629       2.50885002E-02
   9.6953736576551819E-002   1.8645528703927994E-002   1.5120673506316962E-003   1.0055121034383774E-002  0.799726844      0.999997854       2.44899001E-02
   9.7494644652215356E-002   1.8600177019834518E-002   1.4908122211636510E-003   1.0005566291511059E-002  0.799803495      0.999998868       2.55456995E-02
   9.7437128883484547E-002   1.8619686365127563E-002   1.5433568241860485E-003   1.0038536041975021E-002  0.799940288      0.999998868       2.43992992E-02
   9.7480299256858416E-002   1.8690824508666992E-002   1.4976832717366051E-003   1.0004512034356594E-002  0.799980879      0.999998629       2.50923000E-02
   9.7569849023329880E-002   1.8578881397843361E-002   1.5700426356488606E-003   1.0025866329669952E-002  0.799822688      0.999999106       2.46657003E-02
