s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   8.5456549610171351E-002   1.6356745734810829E-002   1.3522120098059531E-003   8.7189534679055214E-003  0.799960971      0.999998868       9.17742029E-02
   8.4971190219221171E-002   1.6227517277002335E-002   1.3082204277452547E-003   8.6105000227689743E-003  0.799973488      0.999998331       9.14373994E-02
   8.5351534081837599E-002   1.6320934519171715E-002   1.2963587942067534E-003   8.6608994752168655E-003  0.799710572      0.999997854       9.61029977E-02
   8.5281678750106948E-002   1.6216451302170753E-002   1.3130972311046207E-003   8.6485520005226135E-003  0.799889743      0.999998391       8.59687999E-02
   8.5090942825445381E-002   1.6120942309498787E-002   1.2986643196200021E-003   8.5385348647832870E-003  0.799962878      0.999998331      0.125200599    
   8.5472345719608711E-002   1.6268238425254822E-002   1.3286494231579127E-003   8.6870398372411728E-003  0.799998462      0.999998569       8.75319988E-02
   8.5868421600935108E-002   1.6308983787894249E-002   1.3225068942119833E-003   8.5858376696705818E-003  0.799892724      0.999998331      0.127052307    
   8.4903187986128614E-002   1.6133308410644531E-002   1.3103161163598998E-003   8.5605382919311523E-003  0.800140798      0.999997377      0.107402802    
   8.5332504991129099E-002   1.6340838745236397E-002   1.3923211208748398E-003   8.7052192538976669E-003  0.800059617      0.999997616       9.93001983E-02
   8.5294371898271493E-002   1.6317613422870636E-002   1.3057489595666993E-003   8.6791375651955605E-003  0.799820423      0.999998391      0.125612706    
   8.4805466305624577E-002   1.6234824433922768E-002   1.3650024648086401E-003   8.6816903203725815E-003  0.800049961      0.999998629      0.124588400    
   8.5411211746759363E-002   1.6223371028900146E-002   1.2716039091174025E-003   8.6215976625680923E-003  0.799801648      0.999998629       8.41436982E-02
   8.4716169194507529E-002   1.6178645193576813E-002   1.2964165707671782E-003   8.6631234735250473E-003  0.800066829      0.999997079       9.66738984E-02
   8.4678398355208628E-002   1.6043798997998238E-002   1.2757962922478328E-003   8.5220457985997200E-003  0.800004542      0.999997854       9.43380967E-02
   8.5419614511010877E-002   1.6307856887578964E-002   1.3265790712466696E-003   8.6770690977573395E-003  0.799930334      0.999997437      0.102613799    
   8.4964867888629669E-002   1.6261693090200424E-002   1.3159990812710021E-003   8.6301127448678017E-003  0.799910188      0.999998331      0.125995293    
   8.4908527374864207E-002   1.6182631254196167E-002   1.2947980776516488E-003   8.5901254788041115E-003  0.800220490      0.999997854      0.129428193    
   8.4967883950412215E-002   1.6213504597544670E-002   1.3368782801990164E-003   8.6552230641245842E-003  0.800093353      0.999997556       9.20201018E-02
   8.5519339939310157E-002   1.6287254169583321E-002   1.3121672636771109E-003   8.6308838799595833E-003  0.799950063      0.999998152       8.92407969E-02
   8.4672383088218339E-002   1.6156939789652824E-002   1.2933122688991716E-003   8.5998643189668655E-003  0.800082803      0.999999106      0.131959796    
   8.5220494991517626E-002   1.6183270141482353E-002   1.3095318026898894E-003   8.5317213088274002E-003  0.799860239      0.999998629      0.129822493    
   8.4483005812217016E-002   1.6152210533618927E-002   1.3099822717776988E-003   8.6541064083576202E-003  0.799982965      0.999998629      0.127691805    
   8.5213727135851514E-002   1.6284102573990822E-002   1.2969485378562240E-003   8.6901588365435600E-003  0.800100207      0.999999106      0.128278494    
