s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   6.7857525617000647E-002   1.2971811927855015E-002   1.0617044772516238E-003   6.8047428503632545E-003  0.799683034      0.999998808       2.15022005E-02
   6.7988762376444356E-002   1.3043471612036228E-002   1.0451852667756611E-003   6.8329665809869766E-003  0.799858928      0.999998093       2.15293001E-02
   6.7394640112979687E-002   1.3011021539568901E-002   1.0166591546294512E-003   6.8726162426173687E-003  0.799640000      0.999998093       2.15188004E-02
   6.7470148163920385E-002   1.2884896248579025E-002   1.0358037397963926E-003   6.7259501665830612E-003  0.799965858      0.999997854       1.82405002E-02
   6.7432128060318064E-002   1.3054152019321918E-002   1.0485600778338267E-003   6.8900855258107185E-003  0.799809217      0.999998152       1.83373000E-02
   6.7933828468085267E-002   1.3007685542106628E-002   1.0289786332577933E-003   6.8063419312238693E-003  0.799737692      0.999997318       1.85240991E-02
   6.7890427741076564E-002   1.2959281913936138E-002   1.0512707540328847E-003   6.7472369410097599E-003  0.799912751      0.999998093       1.92923993E-02
   6.7979012166688335E-002   1.2963327579200268E-002   1.0355738868383924E-003   6.7868758924305439E-003  0.799769461      0.999998093       1.82923004E-02
   6.7410775543976342E-002   1.2910407967865467E-002   1.0701545288611669E-003   6.7918733693659306E-003  0.799948156      0.999997139       1.84592996E-02
   6.7724368689596304E-002   1.2977465055882931E-002   1.0806510726979468E-003   6.7873685620725155E-003  0.799647629      0.999997914       1.85949001E-02
   6.7852312995455577E-002   1.3072306290268898E-002   1.0351709897804540E-003   6.8279658444225788E-003  0.799909830      0.999997556       1.83313005E-02
   6.7756234750049771E-002   1.2937870807945728E-002   1.0936206144833704E-003   6.7930347286164761E-003  0.799698234      0.999998391       1.86528005E-02
   6.7672226116883394E-002   1.3040610589087009E-002   1.0252696010866202E-003   6.8391747772693634E-003  0.799637854      0.999997437       2.18646005E-02
   6.7625956398842391E-002   1.2832136824727058E-002   1.0423695512145059E-003   6.7061944864690304E-003  0.799733162      0.999998093       2.19462998E-02
   6.7664225942280609E-002   1.2927015312016010E-002   1.0459199020260712E-003   6.7515233531594276E-003  0.800078273      0.999998331       2.21461002E-02
   6.8027072464246885E-002   1.2931996956467628E-002   1.0220348467555596E-003   6.7377104423940182E-003  0.799836457      0.999998391       2.36460008E-02
   6.8236069133490673E-002   1.2998647987842560E-002   1.0229479503323091E-003   6.7754620686173439E-003  0.799788415      0.999997854       2.13623997E-02
   6.8241031385696260E-002   1.2969499453902245E-002   1.0291877933923388E-003   6.7699030041694641E-003  0.799803197      0.999997377       2.16502007E-02
   6.8131597138744837E-002   1.3169437646865845E-002   1.0311024670954794E-003   6.9428724236786366E-003  0.799620450      0.999998093       2.16541998E-02
   6.7735332675511017E-002   1.2958302162587643E-002   1.0347657880629413E-003   6.7635155282914639E-003  0.799952865      0.999997675       2.16942001E-02
   6.8257189132054918E-002   1.3092184439301491E-002   1.0397286732768407E-003   6.8690837360918522E-003  0.799699485      0.999997854       2.17214003E-02
   6.8106651031484944E-002   1.3070089742541313E-002   1.0599853685562266E-003   6.8337111733853817E-003  0.799805284      0.999997139       2.20378004E-02
   6.7567581607363536E-002   1.3050426729023457E-002   1.0630141114233993E-003   6.8663395941257477E-003  0.799867094      0.999997914       2.11497992E-02
   6.7877118076467013E-002   1.2933342717587948E-002   1.0321622776245931E-003   6.7351432517170906E-003  0.800211966      0.999998331       1.82240009E-02
   6.7961963306515827E-002   1.2957424856722355E-002   1.0464027182024438E-003   6.8063698709011078E-003  0.799796522      0.999997079       1.86759997E-02
   6.7835076755727641E-002   1.2972748838365078E-002   1.0303141443728236E-003   6.7840823903679848E-003  0.799597740      0.999997556       1.84406992E-02
   6.8008578549779486E-002   1.3052137568593025E-002   1.0796597161970567E-003   6.8956096656620502E-003  0.799964786      0.999998391       1.82702001E-02
   6.7605569213810668E-002   1.3012288138270378E-002   1.0235426889266819E-003   6.8212253972887993E-003  0.799909353      0.999997854       1.87826008E-02
   6.7913509783465997E-002   1.2998335994780064E-002   1.0505469836061820E-003   6.8292976357042789E-003  0.799665332      0.999998331       2.23120991E-02
   6.8006458152012783E-002   1.3061488047242165E-002   1.0274923261022195E-003   6.8172854371368885E-003  0.800050735      0.999997139       2.17710994E-02
   6.7872478459321428E-002   1.2978088110685349E-002   1.0145048127014888E-003   6.7474534735083580E-003  0.799765468      0.999997318       2.15109009E-02
   6.7987831420396105E-002   1.3037551194429398E-002   1.0583317507553147E-003   6.8085123784840107E-003  0.799732804      0.999998331       2.18543001E-02
   6.7917860518718953E-002   1.3026018626987934E-002   1.0052463749161689E-003   6.7958361469209194E-003  0.799733818      0.999997318       2.20614001E-02
   6.8136799356580013E-002   1.2934027239680290E-002   1.0448601587995654E-003   6.7572873085737228E-003  0.799923420      0.999998629       2.15450004E-02
   6.7816501241395599E-002   1.2897041626274586E-002   1.0203150159213692E-003   6.7298766225576401E-003  0.799757898      0.999997854       2.23552007E-02
   6.7752618884696858E-002   1.3031921349465847E-002   1.0434382711537182E-003   6.8525141105055809E-003  0.799925208      0.999998093       1.83314998E-02
   6.7431790541377268E-002   1.2968827970325947E-002   1.0614271759550320E-003   6.8212621845304966E-003  0.799799085      0.999997854       1.90469995E-02
   6.7311302170310228E-002   1.2940531596541405E-002   1.0193676625931403E-003   6.7761056125164032E-003  0.799810231      0.999998093       1.88845992E-02
   6.7855670755307074E-002   1.2980689294636250E-002   1.0397934438515222E-003   6.7976177670061588E-003  0.800140440      0.999998391       1.87614001E-02
   6.7812707766279345E-002   1.3082588091492653E-002   1.0929193977062823E-003   6.8647400476038456E-003  0.799782395      0.999997854       1.82339996E-02
   6.7683123020287894E-002   1.3017068617045879E-002   1.0443240644235630E-003   6.8220249377191067E-003  0.799768209      0.999998152       2.17732992E-02
   6.8078205436904682E-002   1.3039875775575638E-002   1.0321676836611005E-003   6.8161361850798130E-003  0.799909830      0.999997139       2.19362006E-02
   6.7920488692834624E-002   1.3051778078079224E-002   1.0431716073071584E-003   6.8102390505373478E-003  0.800003886      0.999996364       2.18024999E-02
   6.8583405087338178E-002   1.2976973317563534E-002   1.0304980260116281E-003   6.7461361177265644E-003  0.799962223      0.999998629       2.26582997E-02
   6.7559848719611182E-002   1.2983678840100765E-002   1.0388806604169076E-003   6.7779305391013622E-003  0.799699485      0.999996364       2.25731004E-02
   6.7787440544634592E-002   1.3009275309741497E-002   1.0449799083289690E-003   6.8123447708785534E-003  0.799661398      0.999997914       2.24211998E-02
   6.7862538464396494E-002   1.3015914708375931E-002   1.0390928855485981E-003   6.8408949300646782E-003  0.799792051      0.999998629       2.24248003E-02
   6.7270552085574309E-002   1.2957470491528511E-002   1.0547057918302016E-003   6.8042571656405926E-003  0.799793184      0.999997675       2.15246994E-02
   6.8036682113415736E-002   1.3035939075052738E-002   1.0573853869573213E-003   6.8767694756388664E-003  0.799640536      0.999997437       2.20769998E-02
   6.7735280186752789E-002   1.3001604005694389E-002   1.0464657261763932E-003   6.7611522972583771E-003  0.799654722      0.999997914       2.18966994E-02
   6.7943165169708664E-002   1.3006764464080334E-002   1.0508044288144447E-003   6.7996070720255375E-003  0.799885452      0.999998152       2.14823000E-02
   6.7289117143445765E-002   1.2996481731534004E-002   1.0001673072110862E-003   6.8532768636941910E-003  0.799725294      0.999998152       2.24121995E-02
   6.8233062722356408E-002   1.3075827620923519E-002   1.0519072711758781E-003   6.7716278135776520E-003  0.799875379      0.999997139       2.14067008E-02
   6.7907287605521560E-002   1.2959359213709831E-002   1.0532919986872002E-003   6.7754779011011124E-003  0.799724817      0.999999106       2.19043996E-02
   6.7647983142705925E-002   1.3140476308763027E-002   1.0333139471185859E-003   6.9247614592313766E-003  0.799779654      0.999998331       2.19662003E-02
   6.7647124459654151E-002   1.2893421575427055E-002   1.0397255246061832E-003   6.7637604661285877E-003  0.800022602      0.999996841       2.11893003E-02
   6.7549080795288319E-002   1.2946728616952896E-002   1.0390071074652951E-003   6.7818048410117626E-003  0.799717546      0.999997556       2.15706993E-02
   6.7942518357085646E-002   1.3060847297310829E-002   1.0509779276617337E-003   6.8121291697025299E-003  0.799796760      0.999998331       2.12375000E-02
   6.8097323527581466E-002   1.3013278134167194E-002   1.0059291253128322E-003   6.8148286081850529E-003  0.799924374      0.999997139       1.77173000E-02
   6.7508921734770411E-002   1.3029535301029682E-002   1.0458676169946557E-003   6.8544279783964157E-003  0.799902141      0.999997616       1.71371009E-02
   6.8086600846072542E-002   1.2901044450700283E-002   1.0264019128953805E-003   6.7184278741478920E-003  0.800137818      0.999998152       1.73802003E-02
   6.7813597072017728E-002   1.2945733964443207E-002   1.0204558348050341E-003   6.7741656675934792E-003  0.799925089      0.999997914       1.79440007E-02
   6.7534119010815630E-002   1.3004764914512634E-002   1.0391821106168209E-003   6.8426504731178284E-003  0.799919486      0.999998093       1.86688006E-02
   6.7673924826522125E-002   1.3011550530791283E-002   1.0183029407926369E-003   6.8193348124623299E-003  0.799871802      0.999997675       1.83128994E-02
   6.7850225716028945E-002   1.2987649999558926E-002   1.0793291476147715E-003   6.7998389713466167E-003  0.799804926      0.999999106       1.77701004E-02
   6.8352981963471393E-002   1.2969897128641605E-002   1.0824394012161065E-003   6.7725908011198044E-003  0.799965620      0.999997616       1.73860006E-02
   6.7544465895480243E-002   1.3027640990912914E-002   1.0674836921680253E-003   6.8371258676052094E-003  0.799531639      0.999998152       1.73888002E-02
   6.7406371712422697E-002   1.2946744449436665E-002   1.0351552828069543E-003   6.7795426584780216E-003  0.799818039      0.999997437       1.85039006E-02
   6.7917200058218441E-002   1.2979338876903057E-002   1.0457360258442350E-003   6.7632654681801796E-003  0.799660206      0.999998391       1.94153003E-02
   6.7544871571044496E-002   1.3076804578304291E-002   1.0558019366726512E-003   6.8743093870580196E-003  0.799433768      0.999998152       2.16621999E-02
   6.7748866365946014E-002   1.2945933267474174E-002   1.0541213578108000E-003   6.7940717563033104E-003  0.800084472      0.999998391       2.15217993E-02
   6.7447651527800190E-002   1.2910746037960052E-002   1.0347272527724272E-003   6.7596309818327427E-003  0.799781919      0.999998093       2.17797998E-02
   6.7838174031749077E-002   1.2989584356546402E-002   1.0570981503406074E-003   6.8276412785053253E-003  0.799662709      0.999998093       2.17882004E-02
   6.7886808679759270E-002   1.2995369732379913E-002   9.9403533386066556E-004   6.7277275957167149E-003  0.799898803      0.999998868       2.06205007E-02
   6.7978407127156970E-002   1.3029044494032860E-002   1.0401342333352659E-003   6.7901206202805042E-003  0.799827456      0.999997795       2.13142000E-02
   6.7944356874249934E-002   1.2992800213396549E-002   1.0347591869503958E-003   6.8004727363586426E-003  0.799930990      0.999997556       2.22727992E-02
   6.7419141352729639E-002   1.3054906390607357E-002   1.0520201631152304E-003   6.8491837009787560E-003  0.800024390      0.999998391       2.15700995E-02
   6.7206718715169700E-002   1.3050576671957970E-002   1.0486988212505821E-003   6.8579823710024357E-003  0.799785435      0.999997854       2.07477007E-02
   6.7444981690641725E-002   1.2892587110400200E-002   1.0454325238242745E-003   6.7164194770157337E-003  0.799717426      0.999996901       2.16048993E-02
   6.7836473724128155E-002   1.3018312864005566E-002   1.0555537010077387E-003   6.8338569253683090E-003  0.799785376      0.999996841       2.15566009E-02
   6.7753084160358412E-002   1.3036962598562241E-002   1.0273495972796809E-003   6.7984173074364662E-003  0.799843013      0.999997854       1.74039993E-02
