s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   9.8167886246301350E-002   1.8548490479588509E-002   1.5399146814161213E-003   9.9387196823954582E-003  0.799911380      0.999998152       9.82329994E-02
   9.7315130547031004E-002   1.8569828942418098E-002   1.5225754523271462E-003   9.9910916760563850E-003  0.799983323      0.999999344       9.78062972E-02
   9.7487499730959826E-002   1.8472995609045029E-002   1.5353211620094953E-003   9.9268294870853424E-003  0.799912751      0.999998868       8.79656971E-02
   9.7369759968842118E-002   1.8557034432888031E-002   1.4691544420202263E-003   9.9568264558911324E-003  0.800002992      0.999998331       9.64761972E-02
   9.7973344983984134E-002   1.8673446029424667E-002   1.5908391651464626E-003   1.0085663758218288E-002  0.800083041      0.999998868       9.30258036E-02
   9.7400932369964721E-002   1.8672879785299301E-002   1.5162707713898271E-003   1.0093525983393192E-002  0.800106525      0.999997795      0.127401501    
   9.6910308263431943E-002   1.8613236024975777E-002   1.5243041179928696E-003   1.0154467076063156E-002  0.800134659      0.999999106       8.78422037E-02
   9.7673158657016756E-002   1.8581854179501534E-002   1.5284705987141933E-003   1.0008953511714935E-002  0.799961090      0.999998629      0.130156904    
   9.8215141655600746E-002   1.8701946362853050E-002   1.5217079308058601E-003   1.0077137500047684E-002  0.799817801      0.999997914      0.128576696    
   9.6678543527559668E-002   1.8490973860025406E-002   1.4845554269413697E-003   1.0013191960752010E-002  0.799899578      0.999998391       8.41915011E-02
   9.7973135077154438E-002   1.8499903380870819E-002   1.5117394978005905E-003   9.9132368341088295E-003  0.800262094      0.999998808      0.126142904    
   9.7939688427686633E-002   1.8619190901517868E-002   1.5597720848745666E-003   1.0015937499701977E-002  0.799885511      0.999997914       8.77147019E-02
   9.8583108204365999E-002   1.8777625635266304E-002   1.5297616118914448E-003   1.0106106288731098E-002  0.800134420      0.999996066      0.122852102    
   9.6894469417748041E-002   1.8562076613306999E-002   1.5052401558932615E-003   1.0017904452979565E-002  0.799963415      0.999998629      0.125743806    
   9.6903603957798623E-002   1.8463429063558578E-002   1.4916823147359537E-003   9.9547961726784706E-003  0.799834192      0.999997556      0.130632505    
   9.7284519061759056E-002   1.8592767417430878E-002   1.5350146823038813E-003   1.0019712150096893E-002  0.800159216      0.999998868      0.100100398    
   9.7175510351462435E-002   1.8690494820475578E-002   1.5236830076901242E-003   1.0168024338781834E-002  0.799941659      0.999998868      0.128701493    
   9.7778833478514571E-002   1.8602713942527771E-002   1.5280866100511048E-003   1.0035227984189987E-002  0.799943209      0.999998152      0.132948101    
   9.8442095312748279E-002   1.8523821607232094E-002   1.4921305719326483E-003   9.9993832409381866E-003  0.799988270      0.999999106      0.127721101    
   9.8040329524337722E-002   1.8685484305024147E-002   1.5385306633106666E-003   1.0079053230583668E-002  0.800125480      0.999998629      0.131687194    
   9.7324145418497210E-002   1.8598493188619614E-002   1.5122629447432701E-003   9.9738556891679764E-003  0.800102234      0.999998391      0.127468899    
   9.7957242734082683E-002   1.8589850515127182E-002   1.4944886370358290E-003   9.9659115076065063E-003  0.799927831      0.999999106       9.54950005E-02
   9.8413176736357855E-002   1.8562108278274536E-002   1.5274023553502047E-003   9.9650472402572632E-003  0.799713552      0.999998093       7.42461011E-02
   9.7861115535124554E-002   1.8622454255819321E-002   1.5328347599279368E-003   1.0000677779316902E-002  0.799742758      0.999998152       8.30646008E-02
   9.7643783255080052E-002   1.8470194190740585E-002   1.5306078330468154E-003   9.8904035985469818E-003  0.799925923      0.999998152      0.137223005    
   9.8140009165945230E-002   1.8666222691535950E-002   1.5364414248324465E-003   1.0033507831394672E-002  0.800092041      0.999997675      0.101754598    
   9.7537168575399846E-002   1.8595946952700615E-002   1.5559247094643069E-003   9.9599771201610565E-003  0.799618363      0.999998391      0.147357106    
   9.7123379072399985E-002   1.8434759229421616E-002   1.5299576389224967E-003   9.8481792956590652E-003  0.800032198      0.999998629      0.135278806    
   9.7914515741649666E-002   1.8654318526387215E-002   1.5169106700341217E-003   1.0006428696215153E-002  0.799979389      0.999998093      0.123135798    
   9.6918381330397096E-002   1.8395593389868736E-002   1.5349813784268918E-003   9.8618967458605766E-003  0.799822688      0.999997377      0.139095798    
   9.7591883602945018E-002   1.8583821132779121E-002   1.5791678215464344E-003   1.0011513717472553E-002  0.800165534      0.999997079      0.133950695    
   9.8011176552063262E-002   1.8732396885752678E-002   1.5268024308170425E-003   1.0168721899390221E-002  0.800160170      0.999998629      0.103286199    
   9.7202800408012990E-002   1.8532503396272659E-002   1.5315084547182778E-003   1.0045001283288002E-002  0.799921572      0.999998868       7.40256980E-02
   9.7688653552722826E-002   1.8530040979385376E-002   1.5449731072294526E-003   1.0001258924603462E-002  0.799968481      0.999998152       9.98400971E-02
   9.7311611092663952E-002   1.8511645495891571E-002   1.4925505074643297E-003   9.9803460761904716E-003  0.799944520      0.999998152       8.23618993E-02
   9.7881814265747380E-002   1.8716219812631607E-002   1.5326914672186831E-003   1.0078989900648594E-002  0.799984753      0.999998152      0.111106597    
   9.7864382761599700E-002   1.8554201349616051E-002   1.5533932528342120E-003   9.8766321316361427E-003  0.799777329      0.999998331       7.67692029E-02
   9.6790168010556954E-002   1.8596271052956581E-002   1.5338616467488464E-003   1.0068920440971851E-002  0.799831867      0.999998629      0.139725596    
   9.7042299526947318E-002   1.8470464274287224E-002   1.5154673546931008E-003   9.9965780973434448E-003  0.799942791      0.999998391       8.02090019E-02
   9.7589154078377760E-002   1.8452260643243790E-002   1.4875466167723062E-003   9.9089536815881729E-003  0.799948752      0.999996901      0.126489595    
   9.7070905293549004E-002   1.8556067720055580E-002   1.5504279963352019E-003   1.0055133141577244E-002  0.799716949      0.999998629      0.115422100    
   9.7768218048258859E-002   1.8467994406819344E-002   1.5087415849848185E-003   9.9199619144201279E-003  0.800080359      0.999999344      0.136359304    
   9.6755694672538084E-002   1.8504105508327484E-002   1.5455174052476650E-003   9.9945906549692154E-003  0.800182462      0.999998093      0.103331603    
   9.6852865029177337E-002   1.8460329622030258E-002   1.4783627611905104E-003   9.9727995693683624E-003  0.800037622      0.999999106      0.128573999    
   9.7855004299617576E-002   1.8493065610527992E-002   1.5278490227501607E-003   9.9374381825327873E-003  0.799821973      0.999997616       7.89621025E-02
