s_wil    s_opt    smeared_s_wil  smeared_clover  accrate_metro  accrate_ovlax  time
   7.6008305302821100E-002   1.4505236409604549E-002   1.2065775572409621E-003   7.6627945527434349E-003  0.799804568      0.999998868       9.29510966E-02
   7.5821059183908801E-002   1.4420202933251858E-002   1.1646164221019717E-003   7.5197019614279270E-003  0.800062597      0.999997854       8.72927979E-02
   7.4958805494134140E-002   1.4421232976019382E-002   1.1863943745993311E-003   7.6914853416383266E-003  0.800321698      0.999997854       8.12503025E-02
   7.5452341558047920E-002   1.4439058490097523E-002   1.1258290196565213E-003   7.6477532275021076E-003  0.800006151      0.999998391      0.129671693    
   7.6082318930275505E-002   1.4506543055176735E-002   1.1544248372956645E-003   7.6288632117211819E-003  0.799775004      0.999998093       8.68059993E-02
   7.5321753832213290E-002   1.4441958628594875E-002   1.1782477649830980E-003   7.6147289946675301E-003  0.799744487      0.999998093      0.123850502    
   7.4976268690988945E-002   1.4387091621756554E-002   1.1482289646664867E-003   7.5984657742083073E-003  0.799887836      0.999997377      0.127879694    
   7.5883858544329996E-002   1.4415955170989037E-002   1.2013184314128011E-003   7.5377756729722023E-003  0.799838543      0.999997854      0.100621499    
   7.5379993081696739E-002   1.4462827704846859E-002   1.1534099066921044E-003   7.6263016089797020E-003  0.800036907      0.999997556       8.42320025E-02
   7.5988843065715628E-002   1.4479192905128002E-002   1.1832152085844427E-003   7.6722367666661739E-003  0.799849749      0.999998093      0.100016497    
   7.5982810890309338E-002   1.4590324833989143E-002   1.1657009836198995E-003   7.6663070358335972E-003  0.799929798      0.999998629       8.83217007E-02
   7.5878251489484683E-002   1.4409270137548447E-002   1.1585916126932716E-003   7.5552030466496944E-003  0.800089777      0.999998391       9.49641019E-02
   7.5490229286515387E-002   1.4369186945259571E-002   1.1834352426376427E-003   7.5670876540243626E-003  0.800124228      0.999998391       8.95387977E-02
   7.5684538796849665E-002   1.4382630586624146E-002   1.1646443272184115E-003   7.5886142440140247E-003  0.799940348      0.999998868       9.20524970E-02
   7.5835694472516479E-002   1.4463975094258785E-002   1.1512007040437311E-003   7.6298117637634277E-003  0.799681306      0.999998391      0.112775899    
   7.6011996107808955E-002   1.4597843401134014E-002   1.1655422767944401E-003   7.7399024739861488E-003  0.799807668      0.999997377       8.84184986E-02
   7.4940936051461904E-002   1.4517096802592278E-002   1.1808743038272951E-003   7.7481311745941639E-003  0.799988925      0.999998033       9.51829031E-02
   7.5695099984841363E-002   1.4542263001203537E-002   1.1610491274041124E-003   7.6017780229449272E-003  0.799880505      0.999997318      0.128309995    
   7.5459452415998385E-002   1.4389849267899990E-002   1.1766916850319831E-003   7.5725088827311993E-003  0.800059378      0.999998868      0.104825899    
   7.5647025187208783E-002   1.4450556598603725E-002   1.1287143170193303E-003   7.6251998543739319E-003  0.799874663      0.999998093      0.126885504    
   7.5741741353340331E-002   1.4499915763735771E-002   1.1883878523804015E-003   7.6060164719820023E-003  0.799905717      0.999998391      0.119409397    
   7.5781999432365410E-002   1.4351717196404934E-002   1.1494004120322643E-003   7.5255557894706726E-003  0.799971402      0.999996901      0.128533900    
   7.5572077741526300E-002   1.4442497864365578E-002   1.1477160751383053E-003   7.6037286780774593E-003  0.799728036      0.999998391      0.100662299    
   7.6141675219332683E-002   1.4382201246917248E-002   1.1537474747456145E-003   7.5583634898066521E-003  0.799744368      0.999998868       8.91555995E-02
   7.5966734261783131E-002   1.4417411759495735E-002   1.1652330194920069E-003   7.5634345412254333E-003  0.799945176      0.999998331       9.95676965E-02
   7.5008550279562769E-002   1.4491444453597069E-002   1.1941630054934649E-003   7.6637505553662777E-003  0.800109744      0.999997079       8.91802013E-02
   7.5572557830128062E-002   1.4466229826211929E-002   1.1366547751094913E-003   7.6525681652128696E-003  0.799859166      0.999999106      0.133549005    
   7.4833332972048083E-002   1.4361958950757980E-002   1.2073860107193468E-003   7.6357428915798664E-003  0.800172091      0.999998391      0.108582303    
   7.4845657708465296E-002   1.4364356175065041E-002   1.1103740071121138E-003   7.5573166832327843E-003  0.799881279      0.999997616      0.123598300    
   7.5920168411357736E-002   1.4509825967252254E-002   1.1608034583332483E-003   7.6688150875270367E-003  0.799999118      0.999998331      0.126483098    
   7.5610219414556923E-002   1.4402802102267742E-002   1.1703041764121735E-003   7.5594615191221237E-003  0.799784601      0.999997616      0.120472699    
